201701,MM,I,47,119619,384275,119619,384275
201701,BR,I,48,102707,358028,102707,358028
201701,ZA,I,49,115213,324344,115213,324344
201701,MZ,I,50,70540,233585,70540,233585
201701,GM,I,51,49518,226672,49518,226672
201701,TN,I,52,16577,197341,16577,197341
201701,LY,I,53,16969,185404,16969,185404
201701,SA,I,54,18480,150144,18480,150144
201701,RO,I,55,21110,148433,21110,148433
201701,SC,I,56,27621,116725,27621,116725
201701,MO,I,57,46600,114636,46600,114636
201701,BD,I,58,12135,107732,12135,107732
201701,IR,I,59,23190,105500,23190,105500
201701,GL,I,60,13477,105068,13477,105068
201701,SG,I,61,1103,100989,1103,100989
201701,SO,I,62,63596,90120,63596,90120
201701,GR,I,63,271830,82018,271830,82018
201701,GH,I,64,65025,76089,65025,76089
201701,GW,I,65,16488,74230,16488,74230
201701,LK,I,66,7492,72644,7492,72644
201701,BZ,I,67,19930,61484,19930,61484
201701,OM,I,68,11790,56745,11790,56745
201701,UY,I,69,24070,52892,24070,52892
201701,PF,I,70,0,44607,0,44607
201701,TZ,I,71,2496,36501,2496,36501
201701,VU,I,72,8502,24535,8502,24535
201701,IL,I,73,17037,24264,17037,24264
201701,HR,I,74,2612,23446,2612,23446
201701,EE,I,75,11142,21727,11142,21727
201701,PL,I,76,18000,16927,18000,16927
201701,SE,I,77,664,15741,664,15741
201701,CO,I,78,171,14918,171,14918
201701,BE,I,79,11,13418,11,13418
201701,SR,I,80,14,8998,14,8998
201701,FJ,I,81,702,8344,702,8344
201701,TO,I,82,3990,5945,3990,5945
201701,LA,I,83,2310,5578,2310,5578
201701,AT,I,84,8000,4906,8000,4906
201701,DE,I,85,147,4404,147,4404
201701,DJ,I,86,10,3428,10,3428
201701,CI,I,87,20,314,20,314
201701,UA,I,88,22,122,22,122
201701,BN,I,89,2,24,2,24
201701,MN,I,90,1,12,1,12
